iter	RMSE
0	0.1770331949
1	0.1718393887
2	0.1674334767
3	0.1636881257
4	0.1605242436
5	0.1578496176
6	0.155621092
7	0.1537672797
8	0.1521975405
9	0.1508975762
10	0.1498115756
11	0.1489096823
12	0.1481564382
13	0.1475244773
14	0.1470003377
15	0.1465628493
16	0.1461996135
17	0.1458914331
18	0.1456386802
19	0.1454254938
20	0.1452554137
21	0.1451115633
22	0.1449877851
23	0.1448835953
24	0.1447915241
25	0.1447148391
26	0.1446469662
27	0.1445933625
28	0.1445496955
29	0.144506057
30	0.1444760754
31	0.1444479656
32	0.1444219062
33	0.1443982919
34	0.1443785807
35	0.1443617991
36	0.1443463946
37	0.1443300359
38	0.1443163982
39	0.1443030254
40	0.1442874862
41	0.144273643
42	0.1442617516
43	0.1442489732
44	0.1442372438
45	0.1442275121
46	0.144215785
47	0.1442056991
48	0.1441948445
49	0.1441864794
50	0.1441782267
51	0.1441695611
52	0.1441608124
53	0.1441530788
54	0.1441460341
55	0.1441384174
56	0.1441279279
57	0.1441220017
58	0.1441122511
59	0.1440987134
60	0.144094739
61	0.1440888879
62	0.1440812689
63	0.1440722259
64	0.1440686366
65	0.1440595399
66	0.1440525475
67	0.1440463481
68	0.1440356362
69	0.1440283906
70	0.1440220741
71	0.144017364
72	0.1440099644
73	0.1440074363
74	0.1439988927
75	0.1439906458
76	0.1439837295
77	0.1439766758
78	0.1439682196
79	0.1439581943
80	0.1439524631
81	0.1439431446
82	0.143937787
83	0.1439282463
84	0.1439237918
85	0.1439147151
86	0.1439069361
87	0.1439011124
88	0.1438964469
89	0.1438911068
90	0.1438842644
91	0.1438769013
92	0.1438676256
93	0.1438628545
94	0.1438542938
95	0.143847509
96	0.1438412666
97	0.1438332871
98	0.1438267874
99	0.1438210936
100	0.143814257
101	0.1438084919
102	0.1438008103
103	0.1437962008
104	0.1437920026
105	0.1437791948
106	0.1437695106
107	0.1437624499
108	0.1437597472
109	0.1437515277
110	0.1437439332
111	0.1437398851
112	0.14373167
113	0.1437238037
114	0.1437177667
115	0.1437097739
116	0.1437046251
117	0.1436976865
118	0.1436933394
119	0.1436861086
120	0.1436785466
121	0.143671167
122	0.1436667064
123	0.1436571986
124	0.1436523709
125	0.1436475016
126	0.1436373621
127	0.1436339057
128	0.1436269296
129	0.1436176752
130	0.1436119172
131	0.1436022195
132	0.1435948487
133	0.1435864557
134	0.1435742136
135	0.1435682053
136	0.1435625941
137	0.1435549638
138	0.1435499375
139	0.1435414876
140	0.1435302217
141	0.1435254298
142	0.1435165059
143	0.1435146229
144	0.1435025002
145	0.1434963218
146	0.1434873336
147	0.1434792041
148	0.1434721299
149	0.1434707313
150	0.1434643819
151	0.1434599763
152	0.1434546027
153	0.143451206
154	0.1434429943
155	0.143436546
156	0.1434342756
157	0.1434244923
158	0.1434169624
159	0.1434075451
160	0.1433953903
161	0.1433923113
162	0.1433843752
163	0.1433789794
164	0.1433755105
165	0.1433652767
166	0.1433564821
167	0.1433520867
168	0.1433505116
169	0.1433427397
170	0.1433358305
171	0.1433289549
172	0.1433206118
173	0.1433107679
174	0.1433022215
175	0.1432931836
176	0.1432881677
177	0.1432775286
178	0.1432677513
179	0.1432663816
180	0.1432576566
181	0.143247618
182	0.1432413715
183	0.1432377062
184	0.1432332549
185	0.1432200493
186	0.1432091113
187	0.143206713
188	0.1431991782
189	0.1431874267
190	0.1431821192
191	0.1431729979
192	0.1431686764
193	0.14315956
194	0.1431464276
195	0.1431461234
196	0.1431394564
197	0.1431308048
198	0.1431299056
199	0.1431244455
200	0.1431174086
201	0.1431089046
202	0.1430976583
203	0.1430919386
204	0.1430789089
205	0.1430727797
206	0.1430617408
207	0.1430527076
208	0.1430521689
209	0.1430416207
210	0.1430365945
211	0.1430320177
212	0.1430209215
213	0.1430152638
214	0.1430070881
215	0.1430002847
216	0.1429948483
217	0.1429883145
218	0.1429794562
219	0.1429711128
220	0.14296799
221	0.142967736
222	0.1429602944
223	0.1429500325
224	0.1429433895
225	0.1429360182
226	0.1429296329
227	0.1429293914
228	0.1429233216
229	0.1429164895
230	0.1429113373
231	0.142909188
232	0.142898729
233	0.1428930573
234	0.1428861629
235	0.1428797149
236	0.1428722902
237	0.1428658697
238	0.1428566874
239	0.1428501783
240	0.1428495141
241	0.1428391295
242	0.1428327212
243	0.1428258066
244	0.1428191455
245	0.1428181041
246	0.1428127978
247	0.1428080728
248	0.1428025911
249	0.1427951925
250	0.1427893431
251	0.1427811916
252	0.1427750897
253	0.1427705257
254	0.142760872
255	0.1427606628
256	0.1427604846
257	0.1427603141
258	0.142760151
259	0.1427551939
260	0.1427462097
261	0.1427460533
262	0.14273914
263	0.1427293569
264	0.1427215464
265	0.1427122334
266	0.1427035632
267	0.1426965056
268	0.1426905774
269	0.1426813146
270	0.1426737939
271	0.1426656926
272	0.1426594158
273	0.1426517286
274	0.1426409233
275	0.1426407763
276	0.1426371566
277	0.142631681
278	0.1426227538
279	0.1426158192
280	0.1426067083
281	0.142602376
282	0.1425919634
283	0.142587713
284	0.1425793545
285	0.1425734335
286	0.1425636341
287	0.1425556813
288	0.1425459881
289	0.1425458509
290	0.1425355025
291	0.1425314784
292	0.1425249585
293	0.1425198804
294	0.1425131645
295	0.1425042359
296	0.1424973558
297	0.1424881041
298	0.1424757057
299	0.1424755654
300	0.1424687276
