iter	Passed	Remaining
0	37	37371
1	49	24514
2	59	19646
3	70	17440
4	82	16344
5	94	15718
6	106	15043
7	115	14376
8	127	14017
9	137	13632
10	148	13329
11	155	12800
12	165	12603
13	177	12471
14	187	12283
15	197	12162
16	209	12106
17	221	12070
18	232	11997
19	242	11869
20	253	11797
21	264	11748
22	275	11694
23	285	11622
24	297	11621
25	309	11592
26	320	11555
27	330	11489
28	341	11436
29	353	11435
30	364	11399
31	374	11341
32	386	11331
33	397	11301
34	407	11243
35	419	11239
36	430	11215
37	442	11200
38	452	11160
39	463	11132
40	475	11116
41	486	11094
42	497	11064
43	507	11025
44	519	11020
45	530	11003
46	542	11009
47	553	10980
48	564	10946
49	574	10910
50	583	10865
51	595	10856
52	605	10824
53	616	10807
54	628	10797
55	641	10819
56	652	10799
57	663	10769
58	674	10752
59	687	10764
60	697	10736
61	707	10703
62	717	10672
63	727	10643
64	737	10607
65	748	10586
66	758	10558
67	768	10537
68	779	10519
69	789	10486
70	799	10460
71	809	10432
72	821	10434
73	831	10407
74	843	10398
75	852	10369
76	862	10341
77	873	10320
78	884	10309
79	894	10290
80	905	10272
81	916	10255
82	925	10224
83	936	10209
84	946	10185
85	957	10177
86	968	10162
87	977	10135
88	988	10116
89	998	10100
90	1010	10091
91	1020	10071
92	1031	10058
93	1042	10048
94	1054	10048
95	1065	10031
96	1076	10020
97	1087	10009
98	1097	9985
99	1108	9977
100	1118	9958
101	1128	9932
102	1139	9920
103	1149	9905
104	1159	9884
105	1170	9872
106	1181	9862
107	1192	9851
108	1202	9831
109	1212	9811
110	1222	9788
111	1232	9769
112	1243	9764
113	1254	9753
114	1266	9749
115	1276	9730
116	1287	9716
117	1297	9697
118	1307	9679
119	1317	9661
120	1328	9648
121	1338	9631
122	1348	9616
123	1360	9607
124	1370	9591
125	1380	9577
126	1391	9563
127	1400	9543
128	1410	9525
129	1420	9505
130	1431	9493
131	1441	9480
132	1450	9457
133	1461	9444
134	1471	9430
135	1481	9409
136	1490	9390
137	1499	9367
138	1509	9351
139	1521	9344
140	1531	9332
141	1541	9312
142	1550	9293
143	1560	9273
144	1572	9273
145	1583	9262
146	1593	9244
147	1602	9225
148	1613	9215
149	1622	9196
150	1633	9185
151	1644	9175
152	1653	9153
153	1662	9135
154	1673	9124
155	1684	9112
156	1693	9090
157	1703	9077
158	1713	9063
159	1723	9050
160	1735	9041
161	1745	9026
162	1754	9011
163	1764	8994
164	1773	8975
165	1785	8969
166	1795	8956
167	1805	8941
168	1814	8920
169	1826	8915
170	1837	8907
171	1846	8888
172	1855	8871
173	1866	8862
174	1877	8850
175	1888	8842
176	1898	8828
177	1909	8816
178	1920	8807
179	1929	8789
180	1939	8777
181	1950	8765
182	1959	8749
183	1969	8732
184	1979	8719
185	1991	8715
186	2003	8710
187	2012	8690
188	2021	8674
189	2031	8661
190	2041	8649
191	2052	8638
192	2061	8620
193	2072	8609
194	2084	8605
195	2092	8581
196	2102	8568
197	2113	8562
198	2122	8543
199	2132	8530
200	2143	8520
201	2153	8508
202	2164	8496
203	2173	8480
204	2183	8468
205	2193	8452
206	2203	8442
207	2214	8430
208	2221	8408
209	2231	8394
210	2241	8381
211	2251	8368
212	2262	8359
213	2271	8344
214	2280	8327
215	2291	8315
216	2300	8300
217	2310	8287
218	2321	8279
219	2331	8265
220	2340	8250
221	2348	8230
222	2359	8221
223	2370	8211
224	2381	8204
225	2391	8192
226	2401	8177
227	2409	8157
228	2419	8144
229	2428	8130
230	2437	8114
231	2446	8097
232	2456	8086
233	2466	8074
234	2475	8058
235	2485	8046
236	2495	8035
237	2505	8021
238	2515	8009
239	2524	7995
240	2534	7980
241	2544	7970
242	2554	7957
243	2563	7943
244	2575	7935
245	2583	7917
246	2592	7904
247	2601	7889
248	2613	7882
249	2624	7872
250	2636	7866
251	2646	7856
252	2657	7844
253	2666	7830
254	2677	7821
255	2685	7803
256	2692	7784
257	2700	7767
258	2708	7750
259	2719	7739
260	2731	7734
261	2740	7718
262	2752	7712
263	2762	7702
264	2774	7694
265	2784	7684
266	2795	7673
267	2805	7663
268	2815	7650
269	2826	7641
270	2837	7633
271	2847	7620
272	2857	7608
273	2868	7600
274	2878	7589
275	2886	7571
276	2895	7557
277	2905	7545
278	2915	7535
279	2926	7526
280	2937	7516
281	2947	7504
282	2958	7495
283	2968	7483
284	2978	7471
285	2988	7459
286	2998	7448
287	3007	7434
288	3017	7423
289	3024	7405
290	3035	7395
291	3044	7381
292	3057	7377
293	3069	7370
294	3081	7363
295	3093	7357
296	3104	7347
297	3116	7340
298	3130	7339
299	3140	7327
300	3151	7318
301	3163	7311
302	3176	7306
303	3187	7297
304	3197	7286
305	3207	7275
306	3216	7260
307	3226	7248
308	3236	7236
309	3247	7227
310	3257	7216
311	3267	7206
312	3279	7198
313	3290	7187
314	3301	7178
315	3310	7166
316	3321	7156
317	3332	7146
318	3342	7135
319	3353	7126
320	3364	7117
321	3374	7105
322	3386	7097
323	3396	7087
324	3408	7078
325	3417	7065
326	3427	7054
327	3438	7043
328	3449	7034
329	3457	7020
330	3467	7008
331	3478	6997
332	3487	6986
333	3499	6977
334	3508	6964
335	3518	6954
336	3530	6945
337	3538	6930
338	3547	6917
339	3558	6908
340	3568	6897
341	3580	6889
342	3591	6878
343	3599	6863
344	3609	6852
345	3620	6843
346	3628	6829
347	3639	6818
348	3650	6809
349	3661	6799
350	3673	6791
351	3684	6782
352	3695	6773
353	3705	6762
354	3715	6750
355	3725	6738
356	3735	6728
357	3745	6716
358	3755	6706
359	3765	6695
360	3775	6682
361	3784	6670
362	3794	6658
363	3805	6649
364	3816	6640
365	3827	6629
366	3837	6618
367	3846	6606
368	3856	6594
369	3866	6583
370	3876	6571
371	3886	6561
372	3896	6549
373	3905	6537
374	3915	6525
375	3925	6514
376	3935	6503
377	3945	6492
378	3956	6482
379	3967	6473
380	3977	6462
381	3987	6451
382	3997	6439
383	4007	6428
384	4017	6416
385	4026	6405
386	4035	6391
387	4045	6380
388	4054	6369
389	4065	6358
390	4075	6347
391	4085	6336
392	4095	6325
393	4105	6315
394	4115	6304
395	4126	6294
396	4136	6283
397	4147	6273
398	4156	6261
399	4167	6251
400	4177	6240
401	4187	6229
402	4198	6218
403	4207	6207
404	4217	6195
405	4227	6184
406	4236	6172
407	4246	6161
408	4256	6150
409	4266	6139
410	4277	6130
411	4287	6119
412	4297	6107
413	4307	6097
414	4317	6085
415	4328	6075
416	4338	6066
417	4349	6055
418	4362	6048
419	4369	6034
420	4377	6019
421	4387	6009
422	4398	5999
423	4408	5988
424	4418	5977
425	4427	5965
426	4437	5954
427	4448	5945
428	4459	5936
429	4470	5925
430	4479	5914
431	4488	5902
432	4498	5890
433	4509	5880
434	4519	5869
435	4529	5859
436	4539	5848
437	4550	5838
438	4560	5827
439	4568	5814
440	4578	5803
441	4588	5793
442	4600	5784
443	4611	5774
444	4621	5764
445	4632	5753
446	4644	5745
447	4655	5736
